region,year,RD,GRP,Wage,Unemp,ExpSci,HEdu,Stu,Bed,SO2,Green,Lib
Shanxi,2016,5536,34843.04039,51803,3.5,1.094663406,79,123.349345,5.00,112.06,11.61,126
Jilin,2016,9126,51082.92772,51558,3.5,1.286562432,58,171.2110425,5.25,36.29,12.51,66
Heilongjiang ,2016,7766,39568.91396,48881,4.5,1.067237717,81,134.8284365,5.58,45.63,11.98,107
Anhui,2016,11463,35816.45508,55139,3.1,2.82381595,119,101.4887695,4.35,48.01,13.37,122
Jiangxi,2016,6040,36626.76303,50932,3.4,1.694938301,97,110.9853263,4.33,52.81,13.96,114
Henan,2016,15404,39031.81435,45403,3.0,1.224381742,129,105.0098101,5.16,114.43,10.16,158
Hubei,2016,16295,50495.88175,54367,2.6,2.565858558,126,147.6008202,5.86,55.14,11.01,112
Hunan,2016,8430,42609.77444,52357,4.1,1.156628357,124,100.002064,5.85,59.55,9.99,137
Shanxi,2017,5634,35443.80771,53705,3.5,1.007915167,80,128.8079848,5.15,68.64,11.86,127
Jilin,2017,9105,54068.05708,56098,3.5,1.143585353,60,174.0450055,5.53,18.81,13.37,66
Heilongjiang ,2017,7146,40500.36852,52435,4.2,1.062606746,82,135.2848118,5.79,33.82,11.91,108
Anhui,2017,12254,39392.54358,59102,3.2,4.698575942,119,103.0829567,4.55,28.16,14.02,123
Jiangxi,2017,6138,40285.27875,56136,3.4,1.800147269,98,113.0115418,4.55,27.69,14.16,113
Henan,2017,15429,42458.86488,49505,3.0,1.289285647,129,108.5015736,5.47,41.36,10.43,158
Hubei,2017,16010,55506.16822,59831,2.4,2.959841071,128,146.2324554,6.13,28.56,10.99,112
Hunan,2017,7744,46249.44298,58241,4.2,1.126963194,123,100.8686602,6.24,34.68,10.57,137
Shanxi,2018,5633,41946.02917,60061,3.4,1.337709841,80,131.9270665,5.34,57.31,11.98,128
Jilin,2018,8873,55003.79095,61451,3.5,1.257206661,62,176.2322414,5.66,16.61,11.37,66
Heilongjiang ,2018,7504,41970.65189,56067,4.2,1.010756117,81,136.7455793,6.38,29.37,11.78,109
Anhui,2018,12187,43194.2446,65150,2.9,4.197581809,119,103.813749,4.89,23.54,14.32,124
Jiangxi,2018,6242,43284.96322,61429,3.3,2.349421986,100,114.7871051,5.06,21.55,14.50,113
Henan,2018,14897,46608.254,55495,2.8,1.679017275,134,112.6799874,5.85,28.63,12.00,158
Hubei,2018,14816,60111.97899,65912,2.6,3.444508812,129,146.2907489,6.37,22.01,11.00,116
Hunan,2018,7835,49421.22449,63690,4.0,1.330831413,124,102.548105,6.59,21.46,9.99,139
Shanxi,2019,5907,45234.29263,65917,3.3,1.37911394,83,135.2694997,5.60,57.31,12.28,128
Jilin,2019,8785,55749.33432,68533,3.5,1.084550044,62,180.0935651,6.18,16.61,13.45,66
Heilongjiang ,2019,7302,43365.01458,60780,4.0,0.845031272,81,139.9379804,6.63,29.37,12.35,109
Anhui,2019,12078,47449.11448,74378,2.8,4.485746673,119,105.1469007,5.19,23.54,14.67,126
Jiangxi,2019,6208,47299.44062,68573,3.4,2.595315058,102,117.2345095,5.37,21.55,14.67,113
Henan,2019,14189,50032.1291,63174,3.0,1.688810586,139,118.7691827,6.34,28.63,12.69,160
Hubei,2019,14766,66531.26584,73777,2.6,3.69909083,128,148.1782998,6.65,22.01,11.47,115
Hunan,2019,7888,52798.63748,70221,3.6,1.737256354,124,104.9083925,6.99,21.46,10.99,140
Shanxi,2020,5718,45660.177,69551,2.7,1.225279997,82,138.3325288,5.86,41.44,12.63,128
Jilin,2020,9011,43577.9264,73813,3.1,0.996079747,62,183.3656633,6.33,15.70,12.54,66
Heilongjiang ,2020,7224,36290.8025,68416,3.5,0.841255018,81,144.5169288,7.00,22.74,12.43,110
Anhui,2020,12115,58300.3142,79037,2.6,5.11280779,120,106.7990889,5.46,20.97,14.80,127
Jiangxi,2020,6461,53059.3656,73725,2.9,2.864032066,103,121.7411059,5.72,32.17,14.53,114
Henan,2020,14754,56285.4772,67268,3.2,2.076657356,141,124.1893154,6.64,16.44,13.59,164
Hubei,2020,13603,77321.2586,79303,2.4,4.005917034,128,150.7506327,6.80,18.07,11.96,116
Hunan,2020,7833,57461.8676,74316,2.7,2.139793538,125,108.1792426,7.32,22.82,11.81,141