region,RD,GRP,Wage,Unemp,ExpSci,HEdu,ExpEdu,Lib,Bed,Temp_humi,SO2,Green
Beijing,125390,35371.28,166803,1.3,0.058505519,244.854689,0.153503082,1.398328691,5.93,0.451612903,0.47,16.40
Tianjin,9962,14104.28,108002,3.5,0.03091647,230.4078105,0.131515225,1.343790013,4.37,0.394366197,2.37,9.21
Hebei,11732,35104.52,72956,3.1,0.010915822,108.3929136,0.184990083,0.403582719,5.66,0.428787879,40.22,14.29
Shanxi,5718,17026.68,69551,2.7,0.0122528,138.3325288,0.147806299,0.543309198,5.86,0.416393443,41.44,12.63
Inner Mongolia,3901,17212.53,80563,3.7,0.005585278,104.2917323,0.119580624,0.785826772,6.34,0.350819672,39.79,18.71
Liaoning,16005,24909.45,72891,4.2,0.012885786,160.1096048,0.122257441,1.009880515,7.21,0.354794521,39.57,11.97
Jilin,9011,11726.82,73813,3.1,0.009960797,183.3656633,0.127250586,0.805648458,6.33,0.319480519,15.70,12.54
Heilongjiang ,7224,13612.68,68416,3.5,0.00841255,144.5169288,0.1107699,0.618235137,7.00,0.285542169,22.74,12.43
Shanghai,36405,38155.32,149377,3.6,0.047625219,161.1622735,0.121734431,3.320840198,6.03,0.339506173,1.46,8.73
Jiangsu,29191,99631.52,96527,3.0,0.045495504,141.2488228,0.176071197,1.225154895,6.39,0.349382716,38.32,14.98
Zhejiang,10975,62351.74,99654,2.5,0.051333777,108.7439316,0.175538121,1.612478632,5.99,0.361538462,11.40,14.03
Anhui,12115,37113.98,79037,2.6,0.051128078,106.7990889,0.165337341,0.490574929,5.46,0.35375,20.97,14.80
Fujian,6165,42395.00,81814,3.5,0.026272517,130.4042285,0.190735201,1.07072741,5.09,0.371794872,11.78,15.03
Jiangxi,6461,24757.50,73725,2.9,0.028640321,121.7411059,0.179824012,0.569867124,5.72,0.364556962,32.17,14.53
Shandong,14237,71067.53,81446,3.3,0.02846991,109.4145978,0.200762401,0.657000993,6.25,0.462903226,47.25,17.57
Henan,14754,54259.20,67268,3.2,0.020766574,124.1893154,0.178150578,0.353630705,6.64,0.513793103,16.44,13.59
Hubei,13603,45828.31,79303,2.4,0.04005917,150.7506327,0.143923435,0.71216467,6.80,0.380519481,18.07,11.96
Hunan,7833,39752.12,74316,2.7,0.021397935,108.1792426,0.158072394,0.515611448,7.32,0.345679012,22.82,11.81
Guangdong,24335,107671.07,98889,2.3,0.067568513,100.6690391,0.185601679,0.915111535,4.73,0.341666667,19.72,18.13
Guangxi,5413,21237.14,76479,2.6,0.012362074,105.3875,0.173393768,0.585080645,5.59,0.326744186,11.58,13.52
Hainan,2446,5308.93,82227,2.3,0.016194985,125.6518519,0.147153772,0.632804233,5.27,0.385714286,1.23,10.57
Chongqing,11142,23605.77,86559,2.6,0.016343901,150.5448143,0.150228563,0.608514725,7.42,0.372,12.89,16.61
Sichuan,41203,46615.82,83367,3.3,0.017872725,112.7375522,0.152575769,0.498149254,7.54,0.276404494,26.38,14.03
Guizhou,4864,16769.34,83298,3.1,0.019185575,102.4380348,0.179469938,0.443279051,7.31,0.270238095,40.70,16.38
Yunnan,8332,23223.75,86585,3.3,0.008714803,96.90736929,0.158025964,0.481268012,6.42,0.25060241,26.49,11.88
Tibet,698,1697.82,118118,2.9,0.00332762,72.74358974,0.120333676,0.698005698,4.87,0.276271186,1.25,9.80
Shaanxi,32993,25793.17,78361,3.2,0.012482251,178.8539732,0.166341991,0.541021672,6.86,0.443548387,19.90,11.62
Gansu,7263,8718.30,73607,3.0,0.007437494,112.1956932,0.160960117,0.642236494,6.84,0.316923077,14.44,14.28
Qinghai,1182,2965.95,90929,2.2,0.00556429,69.29276316,0.118781759,0.8125,6.82,0.253846154,6.08,11.93
Ningxia,725,3748.48,83947,3.7,0.021734143,121.381295,0.124682783,1.077697842,5.90,0.471153846,16.00,21.05
Xinjiang,4044,13597.11,79421,2.1,0.007677561,83.54379707,0.16236885,0.590566786,7.39,0.713888889,34.63,14.88